Index,item,rating
700,Believe that people are basically moral.,4
701,Believe that people are either good or bad.,3
702,Believe that people are essentially evil.,1
703,Believe that people often are trying to take advantage of me.,1.666666667
704,Believe that people seldom tell you the whole story.,2.333333333
705,Believe that people should fend for themselves.,2.333333333
706,Believe that planning ahead makes things turn out better.,4.333333333
707,Believe that privacy is very important.,4
708,Believe that religion is foolish.,1.666666667
709,Believe that small lies are ok.,3
710,Believe that some orders are meant to be ignored.,2.666666667
711,Believe that some people are born lucky.,3
712,Believe that superpowers are possible in humans.,1.666666667
713,Believe that the end justifies the means.,1.666666667
714,Believe that the only person you can truly trust is yourself.,2
715,Believe that the poor deserve our sympathy.,3.666666667
716,Believe that the rules don't apply to me.,1.333333333
717,Believe that the things I own say a lot about how well I'm doing in life.,2.333333333
718,Believe that the world is controlled by a few powerful people.,2.666666667
719,Believe that there are many sides to most issues.,4.333333333
720,"Believe that there are no ""honest"" mistakes - there is always an ulterior motive.",2
721,Believe that there are universal truths.,2.666666667
722,Believe that there is never an excuse for lying.,2.333333333
723,Believe that there is no absolute right and wrong.,3.333333333
724,Believe that things go best when people do things the way I do them or want them done.,2
725,Believe that too much tax money goes to support artists.,2.333333333
726,Believe that unfortunate events occur because of bad luck.,3
727,Believe that we coddle criminals too much.,3
728,Believe that we should be tough on crime.,3
729,"Believe that, sooner or later, people always let you down.",1.333333333
730,Believe the world would be better off without me.,1
731,Believe worry causes me to lose sleep.,2.666666667
732,Blame my mistakes on others.,1.333333333
733,Blame myself for anything that goes wrong.,1.666666667
734,Blend into the crowd.,3.666666667
735,Blurt out whatever comes into my mind.,2
736,Boast about my virtues.,1.666666667
737,Borrow money that I won't pay back.,1
738,Boss people around.,1.333333333
739,Bottle up my feelings.,1.666666667
740,Break my promises.,1.333333333
741,Break rules.,1.666666667
742,Burst into tears.,2.666666667
743,Buy clothes without trying them on first.,2.666666667
744,Buy more than I need.,2
745,Buy only the things I need.,3.666666667
746,Call for action while others talk.,3.666666667
747,Call my friends when they are sick.,4.333333333
748,Can accept a lot from others.,4.333333333
749,Can accept criticism without getting upset.,5
750,"Can always say ""enough is enough.""",3.666666667
751,Can be confused about the emotions I'm feeling.,2
752,Can be relied upon by others.,4.333333333
753,Can be stirred up easily.,1.666666667
754,Can be trusted to keep my promises.,4.333333333
755,Can be very cruel to people.,1
756,Can be vicious.,1.333333333
757,Can become tearful thinking of the goodness of others.,3.666666667
758,Can bend to the will of others.,3
759,"Can change course, if necessary.",5
760,Can change the weather simply by thinking about it.,2
761,Can clearly picture in my mind what I want to happen in my future.,4.333333333
762,Can control my emotions.,4.666666667
763,Can control objects with my mind.,2
764,Can control the outcome of events.,3.666666667
765,Can create any impression that I want.,3.666666667
766,Can easily become furious.,1.333333333
767,Can easily figure out what another person wants to talk about.,4.333333333
768,Can easily link facts together.,4.666666667
769,Can easily push myself forward.,4.666666667
770,Can easily tell if someone else wants to enter a conversation.,4.333333333
771,Can easily visualize how the freeways in my region link up.,3.333333333
772,Can express love to someone else.,4
773,Can face my fears.,4.666666667
774,"Can feel close to someone, even in moments of silence.",4
775,Can find something of interest in any situation.,4.333333333
776,Can find the positive in what seems negative to others.,5
777,Can get along with most people.,4.333333333
778,"Can get anxious, depressed, or irritable for no reason.",1.333333333
779,Can get out of difficult situations.,4
780,"Can go from cheerful to furious, or vice versa, very quickly.",1.666666667
781,Can handle a lot of information.,4
782,Can handle any situation life throws my way.,4.666666667
783,Can handle complex problems.,4.666666667
784,Can hardly wait to see what life has in store for me in the years ahead.,4.333333333
785,Can improvise.,4.666666667
786,Can keep a secret.,5
787,Can laugh at myself.,4
788,Can make anyone believe anything I want them to.,3.666666667
789,Can make myself work on a difficult task even when I don't feel like trying.,3.666666667
790,Can manage many things at the same time.,4.666666667
791,Can never find anything.,1.666666667
792,Can never keep a secret.,1
793,Can perform a wide variety of tasks.,4.333333333
794,Can play many roles convincingly.,4.333333333
795,Can predict the outcome of events.,4
796,Can read books written in Chinese.,3.333333333
797,Can read other peoples' body language such as facial expressions.,4.333333333
798,Can read people like a book.,4.333333333
799,Can recall many events before the age of three.,3.333333333
800,Can remain cool-headed when stressed out.,4.666666667
801,Can say things beautifully.,4
802,Can see different points of view.,4.666666667
803,Can see into the future.,3
804,Can see special connections between seemingly unrelated objects or events.,3.666666667
805,Can see the funny side of a painful situation.,4.333333333
806,Can sense how things will turn out.,4.333333333
807,Can sense the presence of strange persons or forces.,3
808,Can sense when danger or harm is coming.,4
809,Can slow myself down when I want to.,4
810,Can spend hours doing nothing.,2.333333333
811,Can spot faulty reasoning.,4.666666667
812,Can stand a great deal of stress.,4.333333333
813,Can stand criticism.,4.666666667
814,"Can stay focused on tasks, even when I'm happy and excited about an upcoming event.",4.666666667
815,Can stay on a diet.,4.333333333
816,Can switch gears easily.,4
817,Can tackle anything.,4.666666667
818,Can take a joke.,4
819,Can take my mind off my problems.,4.333333333
820,Can take strong measures.,4.333333333
821,Can take the viewpoint of others.,5
822,Can talk my way out of anything.,4.333333333
823,Can talk others into doing things.,4
824,Can tell from persons' attitudes what they will do next,4.333333333
825,Can think of a snappy reply.,3.333333333
826,Can think of many different ways to solve problems.,4.333333333
827,Can think of one or more times in my life where I was very brave.,4.333333333
828,Can understand a stranger's character at first sight.,4
829,"Can understand the ""rules of the groups"" of which I am a member.",4.666666667
830,Can usually appreciate other points of view.,4.666666667
831,Can usually bring my attention back to whatever I was doing after being interrupted.,4
832,Can work under pressure.,4.333333333
833,Cannot be counted on to get things done.,1.333333333
834,Cannot control the urge to hurt myself when something goes wrong.,1
835,Cannot hold back my tongue when criticized.,1
836,Cannot imagine lying or cheating.,4
837,Cannot seem to deal with stress at work/school.,1.666666667
838,Cannot stop thinking about all of my mistakes.,2
839,Cannot wait to get started on a project.,4.333333333
840,Can't afford to buy things I need.,2
841,Can't be bothered with other's needs.,1.666666667
842,Can't come up with new ideas.,1.666666667
843,Can't concentrate.,1.333333333
844,Can't control my impulses when I'm really stressed.,1.333333333
845,Can't do without the company of others.,1.666666667
846,Can't find the right words for my feelings.,2
847,Can't hear for awhile (as if I am deaf).,1.666666667
848,Can't help but look upset when something bad happens.,2
849,Can't help noticing whether something I read is grammatically correct.,3.333333333
850,Can't hold onto money for long.,1.666666667
851,Can't keep to the subject.,1.666666667
852,Can't make up my mind.,1.333333333
853,Can't put my ideas into practice.,1.666666667
854,Can't remember the last time I smiled.,1
855,Can't remember the last time I thought about sex.,2.333333333
856,Can't resist eating candy or cookies if they are around.,2.666666667
857,Can't say no.,2
858,Can't see for awhile (as if I am blind).,2
859,Can't sleep for nights on end but remain active during the daytime.,2.666666667
860,"Can't speak (or only with great effort), or can only whisper.",2.333333333
861,Can't stand aggressive people.,3
862,Can't stand being alone.,2
863,Can't stand being contradicted.,1.666666667
864,Can't stand being late.,4.333333333
865,Can't stand confrontations.,2.333333333
866,Can't stand impolite people.,4
867,Can't stand nosey people.,4.333333333
868,Can't stand on my own.,1.333333333
869,Can't stand pushy people.,3.666666667
870,Can't stand quarrels.,2.666666667
871,Can't stand rude people.,3.666666667
872,Can't stand waiting.,2.333333333
873,Can't stand weak people.,2
874,"Can't swallow, or only with a great effort.",2.666666667
875,Can't think clearly when under pressure.,1.666666667
876,Care about justice.,4.333333333
877,Care about others.,4.666666667
878,Carry around something that gives me good luck.,3
879,Carry out my plans.,4.333333333
880,Carry the conversation to a higher level.,4.666666667
881,Catch on to things quickly.,5
882,Cause accidents.,1
883,Challenge others' points of view.,3.666666667
884,Change my mind.,3.333333333
885,Change my mood a lot.,2
886,Change myself to suit others.,2.666666667
887,Chatter away aimlessly.,2.666666667
888,Cheat on people who have trusted me.,1
889,Cheat to get ahead.,1.333333333
890,Cheated my way through school.,1.333333333
891,Check on things more often than necessary.,1.666666667
892,Check over my work.,4.333333333
893,Cheer loudly at sporting events.,3.333333333
894,Cheer people up.,4.666666667
895,Cherish mementos.,4
896,Choose my words with care.,5
897,Choose the easy way.,2
898,Claim to be able to do everything.,1.666666667
899,Collect things that I don't need.,2.333333333
900,Collect things that no one else wants.,3
901,Come straight to the point.,4
902,Come up with a solution right away.,4.333333333
903,Come up with alternatives.,4.666666667
904,Come up with bold plans.,4
905,Come up with excuses to avoid meeting new people.,2
906,Come up with good solutions.,4.666666667
907,Come up with new ways to do things.,4.666666667
908,Come up with something new.,4.333333333
909,Come up with unworkable plans.,1
910,Comment loudly about others.,1
911,Complete my duties as soon as possible.,4.666666667
912,Complete tasks successfully.,5
913,Conform to others' opinions.,2.333333333
914,Confuse fantasies with real memories.,1.666666667
915,Consider my behavior to be pretty average.,2.666666667
916,Consider my motives before acting.,3.333333333
917,Consider myself a disabled person.,2.666666667
918,Consider myself an average person.,3
919,Consider myself good-looking.,3.666666667
920,Consider myself old.,2.333333333
921,Consider myself to be a wise person.,4
922,Consider others' advice.,4.333333333
923,Consider others' opinions.,4.666666667
924,Consult the library or the Internet immediately if I want to know something.,4
925,Continue until everything is perfect.,2.333333333
926,Contradict others.,2.333333333
927,Control others by my anger.,1
928,Cope poorly with stress.,1.333333333
929,Copy others.,2.333333333
930,Could be a success in many fields.,4
931,Could easily live without having sex.,2.333333333
932,Could go months without a thought of sex crossing my mind.,2.666666667
933,Could never imagine hurting another person.,4
934,"Could never stop loving my family and close friends, no matter what they did.",3
935,Could not get going.,1.666666667
936,Could stare at a painting or picture for hours.,3
937,Count on others too much.,1.666666667
938,Counter others' arguments.,3.333333333
939,Crave romantic touch.,2.666666667
940,Crave the attention I get after hurting myself.,1.666666667
941,Crave the experience of great art.,3.666666667
942,Create problems for others.,1.333333333
943,Create something of value out of nothing.,4.666666667
944,Criticize others' shortcomings.,1.333333333
945,Cry during movies.,3.333333333
946,Cry easily.,2.666666667
947,Cut conversations short.,2.333333333
948,Cut others to pieces.,1.333333333
949,Dare to say anything.,3
950,Deal efficiently with practical matters.,4.333333333
951,Deal with anger by acting out.,2
952,Deceive people.,1
953,Decide things for others.,1.666666667
954,Decide things on my own.,4
955,Defend my own beliefs.,4
956,Demand a lot from others.,1.666666667
957,Demand attention.,1
958,Demand explanations from others.,2.333333333
959,Demand obedience.,1.333333333
960,Demand perfection in myself.,3.666666667
961,Demand perfection in others.,2
962,Demand quality.,3.666666667
963,Demand the impossible of others.,1.333333333
964,Demand to be the center of interest.,1.666666667
965,Deny others their turn.,1.666666667
966,"Depend on science to explain ""miracles.""",3.666666667
967,Describe lots of irrelevant details when telling a story.,2.333333333
968,Deserve more than I am getting.,2.333333333
969,Deserve special treatment from others.,2
970,Deserve the very best of everything.,1.333333333
971,Deserve to be admired.,2.666666667
972,Detect mistakes.,3.666666667
973,Detest working.,1.333333333
974,"Did not feel like eating, even though I should have been hungry.",2.333333333
975,Disapprove of gift giving because it encourages weakness.,1.333333333
976,Disclose my intimate thoughts.,3.333333333
977,Discuss my health problems with my family and friends.,4.333333333
978,Dislike being around happy people when I'm feeling sad.,2
979,Dislike being complimented.,2
980,Dislike being the center of attention.,3
981,Dislike changes.,2
982,Dislike children's birthday parties.,2.666666667
983,Dislike competing with others.,2.333333333
984,Dislike having authority over others.,3.333333333
985,Dislike having to do more than one task at a time.,2
986,Dislike imperfect work.,3.666666667
987,Dislike incompetence.,3.333333333
988,Dislike learning.,1
989,Dislike looking at my body.,2
990,Dislike looking at myself in the mirror.,2
991,Dislike loud music.,3.333333333
992,Dislike movies with happy Hollywood endings.,2.666666667
993,Dislike myself.,1.333333333
994,Dislike neighbors living too close.,2.666666667
995,Dislike neon signs and florescent colors.,3
996,Dislike new foods.,2.666666667
997,Dislike routine.,3
998,Dislike smells that I usually like.,2.333333333
999,Dislike surprises.,3
1000,Dislike taking responsibility for making decisions.,1.666666667
1001,Dislike talking about myself.,2.666666667
1002,Dislike tastes that I usually like.,2.333333333
1003,Dislike the unknown.,2.666666667
1004,Dislike when my friends spend too much time with other friends.,2.333333333
1005,Dislike work.,1.666666667
1006,Dislike works of fiction.,3
1007,Disliked math in school.,2.666666667
1008,Disregard rules.,1.666666667
1009,Disregard the opinions of others.,1.333333333
1010,Distrust people.,1.333333333
1011,Distrust the medical profession to handle my health.,1.333333333
1012,Do a lot in my spare time.,4
1013,Do a lot of things just to avoid getting sick.,3
1014,Do as I am told.,3.666666667
1015,Do crazy things.,2.333333333
1016,Do dangerous things.,1.333333333
1017,Do everything I say I will do.,4
1018,Do favors for others only so I can ask for something for myself later.,1.666666667
1019,Do improper things.,1.666666667
1020,Do just enough work to get by.,2.333333333
1021,Do many things with ease.,4
1022,Do more than what's expected of me.,5
1023,Do most of the talking.,3
1024,Do my best to avoid arguments.,3.666666667
1025,Do my tasks only just before they need to be done.,2
1026,Do not believe humans are truly capable of love.,1
1027,Do not believe in a universal power or a God.,3
1028,Do not care how my actions affect others.,1
1029,Do not easily share my feelings with others.,1.666666667
1030,Do not enjoy going to art museums.,2.333333333
1031,Do not enjoy kissing.,2.333333333
1032,Do not enjoy watching dance performances.,2
1033,Do not exercise on a regular basis.,1.666666667
1034,Do not feel close to people.,1.666666667
1035,Do not give anyone a second chance to hurt me.,2.333333333
1036,Do not give up easily.,4.666666667
1037,Do not go out of my way to make others smile or laugh.,2.666666667
1038,Do not have a good imagination.,2.333333333
1039,Do not like art.,2.333333333
1040,Do not like concerts.,2.333333333
1041,Do not like poetry.,2.666666667
1042,Do not like reading or hearing opinions that go against my way of thinking.,1.333333333
1043,Do not like to visit museums.,2.333333333
1044,Do not make lists.,2.666666667
1045,Do not make polite excuses.,2
1046,Do not often talk about things that I have achieved.,3
1047,Do not plan ahead.,2
1048,Do not practice any religion.,3
1049,"Do not quit easily, even when things are hard.",4.333333333
1050,Do not see the need to acknowledge others who are good to me.,1.666666667
1051,Do not stand up for my beliefs.,2
1052,Do not take many risks.,2.666666667
1053,Do not take news at face value.,4
1054,Do not tend to stick with what I decide to do.,2
1055,Do not think about decisions.,2
1056,Do not trust the integrity of the police.,2.666666667
1057,Do the opposite of what I'm told to do.,1.333333333
1058,Do the opposite of what is asked.,1.333333333
1059,Do things according to a plan.,4
1060,Do things at my own pace.,3.666666667
1061,Do things at the last minute.,1.666666667
1062,Do things behind other people's backs.,1.333333333
1063,Do things by the book.,3.666666667
1064,Do things for a reason.,4
1065,Do things for no apparent reason.,2.333333333
1066,Do things in a half-way manner.,1.333333333
1067,Do things in a logical order.,4.666666667
1068,Do things my own way.,3.333333333
1069,Do things out of habit.,3.666666667
1070,Do things out of revenge.,1.333333333
1071,Do things that are very out of the ordinary.,2.333333333
1072,Do things that I don't like to make others happy.,1.666666667
1073,Do things that I later regret.,1.666666667
1074,Do things that men traditionally do.,3
1075,Do things that others find strange.,2
1076,Do things that women traditionally do.,3
1077,"Do things well at first, but then drop them.",1.666666667
1078,Do things without thinking of the consequences.,1.333333333
1079,Do too little work.,1.333333333
1080,Do unexpected things.,3
1081,Do unpleasant tasks immediately.,3.666666667
1082,Do what I say.,4.333333333
1083,Do what others do.,3.666666667
1084,Do what others want me to do.,2.666666667
1085,Do whatever comes into my mind.,2.333333333
1086,Do what's expected.,4
1087,Don't act is if I'm a special person.,3.666666667
1088,Don't act like a show-off.,4.333333333
1089,Don't always practice what I preach.,2
1090,Don't analyze the reasons for my actions.,1.666666667
1091,Don't approach things halfheartedly.,4.333333333
1092,Don't attempt to conform to society's expectations.,2
1093,Don't bother to make an effort.,1.666666667
1094,Don't bother with polite conversation.,1.666666667
1095,Don't bother worrying about political and social problems.,1.666666667
1096,Don't brag about my accomplishments.,3.666666667
1097,Don't call attention to myself.,3.666666667
1098,Don't call people just to talk.,2.666666667
1099,Don't care about dressing nicely.,2.666666667
1100,Don't care about rules.,1.666666667
1101,Don't care if I offend others with bad manners.,1.333333333
1102,Don't care much about how society tells me to behave.,2
1103,Don't care what others think.,2
1104,Don't care what people think of me.,2.333333333
1105,Don't care whether I'm considered special.,3.333333333
1106,Don't commit myself to things.,1.666666667
1107,Don't consider a task finished until it's perfect.,3.333333333
1108,Don't consider myself attractive.,2
1109,Don't consider myself religious.,3
1110,Don't desire things that others have.,3.333333333
1111,Don't discard old pictures or snapshots,3.333333333
1112,Don't enjoy being in the spotlight.,3
1113,Don't enjoy being the object of jokes.,3.333333333
1114,Don't enjoy doing quiet leisure activities.,2.666666667
1115,Don't fall for sob-stories.,3
1116,Don't feel the need to be close to others.,2.333333333
1117,Don't finish the things that I start.,1.666666667
1118,Don't finish what I start.,1.333333333
1119,Don't get excited about things.,2
1120,Don't get particularly upset when I lose things.,4.333333333
1121,Don't get sidetracked when I work.,4.333333333
1122,Don't have a place I call home.,1.666666667
1123,Don't have a soft side.,2.333333333
1124,Don't have much energy.,1.666666667
1125,Don't have strong feelings about anyone or anything.,2
1126,Don't hesitate to express an unpopular opinion.,3
1127,Don't indulge in violence.,4
1128,Don't know how to handle myself in a new social situation.,1.666666667
1129,Don't know much about history.,2.333333333
1130,Don't know what I really want.,2
1131,Don't know what's going on inside me.,2
1132,Don't know why I do some of the things I do.,2
1133,Don't know why I'm angry.,2
1134,Don't learn from my experiences.,1
1135,Don't let an illness or injury change my daily habits.,4
1136,Don't let little things anger me.,4.333333333
1137,Don't let others cut in front of me in line.,4
1138,Don't let others discourage me.,4
1139,Don't let others take credit for my work.,4
1140,Don't like action movies.,3
1141,Don't like being away from civilization.,3
1142,Don't like being interrupted.,3.333333333
1143,Don't like being laughed at.,3.666666667
1144,Don't like crowded events.,3
1145,Don't like getting dirt on my hands.,2.666666667
1146,Don't like running errands for others.,3.666666667
1147,Don't like seeing people dressed carelessly.,3.333333333
1148,Don't like sex.,3
1149,Don't like the idea of change.,2
1150,Don't like to be noticed when I walk into a room.,3
1151,Don't like to draw attention to myself.,3
1152,Don't like to get dressed up.,2.666666667
1153,Don't like to get involved in other people's problems.,3.333333333
1154,Don't like to learn new things.,1.333333333
1155,Don't like to ponder over things.,2
1156,"Don't like to share, even when others desperately need what I have.",1.333333333
1157,Don't like to spend money.,3.333333333
1158,Don't like to travel.,2.333333333
1159,Don't lose my head.,4.333333333
1160,Don't make a big deal about gifts that I receive.,3.666666667
1161,Don't mind asking for favors.,3.666666667
1162,Don't mind being the center of attention.,4
1163,Don't mind cutting in line.,1.333333333
1164,Don't mind eating alone.,4.333333333
1165,Don't mind others making fun of me.,4
1166,Don't miss group meetings or team practices.,4.333333333
1167,Don't pay attention.,1.666666667
1168,Don't pay enough attention when others are speaking to me.,1
1169,Don't pay much attention to the material objects other people own.,4.333333333
1170,Don't place much emphasis on the amount of material objects people own as a sign of their success.,4.666666667
1171,Don't plan anything very far in advance.,2.333333333
1172,Don't pretend to be more than I am.,4
1173,Don't pride myself on being original.,2.333333333
1174,Don't put a lot of thought into things.,1.666666667
1175,Don't put my mind on the task at hand.,1.666666667
1176,Don't quit a task before it is finished.,4.333333333
1177,Don't read nonfiction books for fun.,3
1178,Don't reveal my intentions.,2.666666667
1179,Don't see much hope for myself.,1.666666667
1180,Don't see the consequences of things.,1.333333333
1181,Don't see things through.,1.333333333
1182,Don't show my feelings.,2
1183,Don't soften the truth.,2.666666667
1184,Don't speak my mind freely when there might be negative results.,3
1185,Don't strive for elegance in my appearance.,2.666666667
1186,Don't take orders well.,1.666666667
1187,Don't talk a lot.,2.666666667
1188,Don't talk badly to outsiders about my own group.,4
1189,Don't tend to think things through critically.,1.666666667
1190,Don't think about different possibilities when making decisions.,1.333333333
1191,Don't think about more possibilities than the one I like first.,1.333333333
1192,Don't think as well as I used to.,2
1193,Don't think I should have to wait in lines like others.,1.333333333
1194,Don't think it's important to socialize with others.,1.333333333
1195,Don't think much about sex.,3
1196,Don't think of tomorrow.,1.666666667
1197,Don't think straight when I am upset.,2
1198,Don't think that I'm better than other people.,3.666666667
1199,Don't think that laws apply to me.,1.333333333
1200,Don't think that schooling is important.,1.333333333
1201,Don't tolerate critics.,2
1202,Don't try to figure myself out.,1.666666667
1203,Don't try to get even.,2
1204,Don't understand people who get emotional.,1.666666667
1205,Don't understand things.,1.333333333
1206,Don't use harsh language.,4.333333333
1207,Don't usually enjoy listening to people tell stories about events that have happened in their lives.,2.333333333
1208,Don't want to cause trouble.,4
1209,Don't waste time with others' troubles.,2
1210,Don't wear fashionable clothing.,2.666666667
1211,Don't worry about things that have already happened.,4.666666667
1212,"Doubt people who claim to be ""healers.""",4
1213,"Doubt reports of so-called ""mystical experiences.""",3.333333333
1214,Doubt that most politicians are corrupt.,2.666666667
1215,Doubt the motives of others when I am complimented.,2
1216,Doubt the value of religion.,2.666666667
1217,Dread getting up in the morning.,1.333333333
1218,Dress to attract sexual attention.,2.333333333
1219,Dress to make an impression.,3.666666667
1220,Drove or rode somewhere without remembering later what happened during all or part of the trip.,2.666666667
1221,Drown out conversations.,2
1222,Dwell on the past.,1.333333333
1223,Eagerly look forward to things to come.,4
1224,Easily find things to laugh or joke about.,4
1225,Easily laugh at myself.,4.333333333
1226,Easily lose my train of thought.,1.666666667
1227,Easily lose track of reality.,1.333333333
1228,Easily resist temptations.,4
1229,Echo what others say.,2.666666667
1230,Embarrass others.,2
1231,Encourage others' criticisms.,3.666666667
1232,Engage in discussions.,4.666666667
1233,Enjoy a good brawl.,3
1234,Enjoy a good ethnic joke among friends.,2.666666667
1235,Enjoy beating the system.,3.333333333
1236,Enjoy being barefoot.,3
1237,Enjoy being on the go.,3.333333333
1238,Enjoy being part of a group.,4.333333333
1239,Enjoy being part of a loud crowd.,3
1240,Enjoy being reckless.,1.666666667
1241,"Enjoy being thought of as a normal ""mainstream"" person.",3.333333333
1242,Enjoy bringing people together.,4.333333333
1243,Enjoy cartoons.,3
1244,Enjoy contemplation.,4
1245,Enjoy crude jokes.,3
1246,Enjoy discussing movies and books with others.,4
1247,Enjoy dreaming about a perfect mate.,3
1248,Enjoy driving fast and passing cars on the highway.,2
1249,Enjoy eating in restaurants.,3.333333333
1250,Enjoy elaborate ceremonies.,3.333333333
1251,Enjoy examining myself and my life.,4.333333333
1252,Enjoy feeding animals.,3.333333333
1253,"Enjoy feeling ""close to the earth.""",3.666666667
1254,Enjoy flirting with complete strangers.,2.666666667
1255,Enjoy flirting.,2.666666667
1256,Enjoy games of strategy.,3.666666667
1257,Enjoy going to social gatherings.,4
1258,Enjoy having control over someone.,2.333333333
1259,Enjoy hearing new ideas.,4.333333333
1260,Enjoy hurting someone physically.,1
1261,Enjoy imagining what life is like for people in other places or who have lives different from mine.,3.666666667
1262,Enjoy injuring myself.,1
1263,Enjoy intellectual games.,4.333333333
1264,Enjoy manipulating other people's feelings.,1.666666667
1265,Enjoy my privacy.,3.333333333
1266,Enjoy my work.,4.666666667
1267,Enjoy myself while with others.,4.333333333
1268,Enjoy offering directions to tourists.,4
1269,Enjoy physical exercise.,4.333333333
1270,Enjoy reading.,4
1271,Enjoy reflecting on past events.,3.666666667
1272,Enjoy science fiction.,3
1273,Enjoy sexual experiences intensely.,2.666666667
1274,Enjoy silence.,3.333333333
1275,Enjoy spending money on things that aren't practical.,2
1276,Enjoy spending time by myself.,3.666666667
1277,Enjoy taking leisurely strolls.,3.666666667
1278,Enjoy taking my clothes off in front of others.,1.666666667
1279,Enjoy teamwork.,4.666666667
1280,Enjoy the beauty of nature.,4
1281,Enjoy the feel of self-inflicted pain.,1
1282,Enjoy the feeling of scalding myself with hot water.,1.666666667
1283,Enjoy the thrill that comes with fearful situations.,3
1284,Enjoy the warm feeling of being in a group of good friends.,4.666666667
1285,Enjoy thinking about things.,4.333333333
1286,Enjoy thought-provoking movies.,4
1287,Enjoy torturing people.,1
1288,Enjoy using my charm.,3.666666667
1289,Enjoy wild flights of fantasy.,3
1290,Enjoy working with people more than working alone.,4
1291,Enjoyed life.,5
1292,Enjoyed school.,4.333333333
1293,Exaggerate my abilities.,1.666666667
1294,Exaggerate things.,1.333333333
1295,Examine my motives constantly.,3.666666667
1296,Excel in nothing at all.,1
1297,Excel in what I do.,4.333333333
1298,Exert my authority.,3
1299,Expect dedicated work from others.,4
1300,Expect nothing less than perfection.,2.333333333
1301,Expect others to thank me for generous things that I do for them.,2.333333333
1302,Expect people not to like me.,1.666666667
1303,Expect the worst to happen.,1
1304,Expect the worst.,1
1305,Expect things to fail.,1.666666667
1306,Experience a lot of physical pain.,1.666666667
1307,Experience altered states of consciousness.,2.333333333
1308,Experience deep emotions when I see beautiful things.,3.666666667
1309,Experience longer periods of sadness or depression than other people seem to.,1.333333333
1310,Experience moods that bounce around like a pinball machine.,1.666666667
1311,Experience my emotions intensely.,3
1312,Experience pangs of hunger that cause me to devour everything insight.,2
1313,Experience panic spells.,1
1314,Experience supernatural guidance.,2
1315,Experience very few emotional highs and lows.,2.666666667
1316,Experience very vivid and lively memories when I recall my childhood.,3.666666667
1317,Express childlike joy.,4
1318,Express disapproval.,3.666666667
1319,Express my affection physically.,3.333333333
1320,Express my happiness in a childlike manner.,4
1321,Express my thanks to those who care about me.,4.666666667
1322,Express myself easily.,4.666666667
1323,Face danger confidently.,4.333333333
1324,Face problems directly.,5
1325,Fail to notice beauty until other comment on it.,1.666666667
1326,Fail to pay attention.,1.666666667
1327,Fear dying from a lingering or painful illness.,1.666666667
1328,Fear for the worst.,1.333333333
1329,Fear nothing.,3.333333333
1330,Fear that others will hate me.,2.333333333
1331,Feel a profound sense of appreciation every day.,4.333333333
1332,Feel a responsibility to improve the world in which I live.,5
1333,Feel a sense of not being real.,1.666666667
1334,Feel a sense of worthlessness or hopelessness.,2
1335,Feel a special sense of destiny or prophecy.,3.666666667
1336,Feel a strong need to hold on to my possessions.,2.333333333
1337,Feel a strong sense of oneness with everything around me.,4.333333333
1338,"Feel as if my body, or a part of it, has disappeared.",1.333333333
1339,Feel at ease with people.,4.666666667
1340,Feel at times that I have left my body and am somehow outside my physical self.,2.333333333
1341,Feel attacked by others.,2
1342,Feel badly if my words or actions cause someone else to feel emotional pain.,4.333333333
1343,Feel better after some hard work.,4.666666667
1344,Feel comfortable around people.,4.333333333
1345,Feel comfortable with myself.,4.333333333
1346,Feel compelled to count while I am doing things.,2.666666667
1347,Feel completely overwhelmed when things don't go as planned.,1.666666667
1348,Feel controlled by powerful people.,2
1349,Feel crushed by setbacks.,2
1350,Feel desperate.,1.333333333
1351,Feel disgusted by anything relating to sex.,2
1352,Feel emotionally damaged.,1.333333333
1353,Feel emotions with extreme intensity.,2
1354,Feel empty in my relationships.,1
1355,Feel excited or happy for no apparent reason.,3.666666667
1356,Feel excited when I think about the future.,4
1357,Feel good when others notice how I have hurt myself.,1
1358,"Feel guilty as if I had committed a crime, although I did not really commit one.",2.333333333
1359,Feel guilty much of the time.,1.666666667
1360,Feel guilty when I believe that I have hurt someone's feelings.,4.333333333
1361,"Feel guilty when I say ""no.""",2.333333333
1362,Feel guilty when I see a policeman.,2.333333333
1363,Feel happy when I see a happy animal such as a playful dog or a purring cat.,4
1364,Feel happy when I see other people display their skills and talents.,4.333333333
1365,"Feel happy when I see other people doing things like showing compassion, forgiving others, or being kind.",4.666666667
1366,Feel healthy and vibrant most of the time.,4.333333333
1367,"Feel hollow, empty, or bored.",1.333333333
1368,Feel I get so engrossed in fantasies that I lose track of reality.,1.666666667
1369,Feel I have no control over my thoughts.,1.666666667
1370,Feel I must respect the decisions made by my group.,4
1371,Feel isolated from other people.,1.666666667
1372,Feel it is important to keep up appearances.,3
1373,Feel it's important to live in a world of beauty.,3.666666667
1374,Feel life is boring or bland.,1.333333333
1375,Feel like a failure when someone else succeeds.,1.333333333
1376,Feel like a loser if I compromise.,1.666666667
1377,Feel like a young person.,3.666666667
1378,Feel like an imposter.,2
1379,"Feel like I am ""falling apart"".",1.333333333
1380,Feel like I have no control over what comes out of my mouth.,1.333333333
1381,Feel like I wouldn't know what to do if I developed a serious illness.,2.333333333
1382,Feel like my imagination can run wild.,2.666666667
1383,Feel like nothing seems interesting to me.,1
